Designator,Mid X,Mid Y,Layer,Rotation
C1,109.5,-362.25,top,90
C2,111.5,-362.25,top,90
C3,98,-367.25,top,-90
C4,96,-362.55,top,90
C5,98,-362.55,top,90
C6,111.5,-367.25,top,-90
C7,109.5,-367.25,top,-90
C8,113.5,-367.25,top,-90
C9,115.5,-367.25,top,-90
C12,97.3,-336.6,top,90
C13,83.4,-330.3,top,-90
C14,89.175,-327.7,top,-90
C15,119.75,-378.3,top,90
C16,90.225,-312.1,top,90
C23,83.5,-369,top,180
C24,83.25,-377.25,top,180
C25,109.7,-398.7,top,-90
C26,118.2875,-393.9,top,180
C27,115,-399.5,top,0
C28,115,-401.3,top,180
C29,122.05,-395.8,top,0
C32,111.9,-386.9,top,-90
C33,118.2875,-382.15,top,180
C34,114.62,-387.7,top,0
C35,123,-348.1,top,0
C36,114.62,-389.5,top,180
C37,123,-357,top,0
C38,122.25,-384,top,0
C39,123.0875,-365,top,0
C40,123.0875,-373,top,0
C41,90.75,-384.95,top,-90
C42,99.25,-382.95,top,-90
C43,86,-388,top,90
C44,95.25,-378.95,top,90
C45,104.4625,-393.2,top,180
C46,90.25,-396.0875,top,-90
C47,99.25,-393.95,top,-90
C48,86,-392,top,90
C49,100.9,-400.1,top,-90
C50,95.25,-389.95,top,90
C51,106.725,-352.7,top,-90
C52,112.5,-341.5,top,0
C53,119.15,-309.535,top,-90
C58,92.4,-349,top,-90
C59,90.7,-344.8,top,180
C60,90.8,-338.7,top,0
C61,108.675,-352.775,top,-90
C62,111.5,-338.8625,top,90
C63,99.4,-352,top,180
C65,94.4,-349,top,-90
C66,113.5,-338.8625,top,90
C67,110.575,-352.775,top,-90
C68,111.6,-398.7,top,-90
C69,110.05,-386.85,top,-90
C70,88.75,-384.95,top,-90
C71,88.25,-395.95,top,-90
C72,104.4625,-391.2,top,180
C73,82.2,-326.1,top,180
C74,110.3625,-378.3,top,-90
C75,99.4,-354,top,180
C76,95.3,-336.6,top,90
D1,89.1,-321.5,top,0
D2,81.9,-314.85,top,180
D3,80.7,-318,top,-90
D4,80.8,-375.38,top,90
D6,125.1,-391.455,top,-90
D8,126,-349.7,top,-90
D9,125.1,-389,top,-90
D10,126,-358,top,-90
D11,126,-374.5,top,-90
D12,126,-366.58,top,-90
D13,80.375,-349.75,top,90
D14,82,-388.42,top,90
D15,82,-391,top,90
D16,119.6,-315.3,top,90
D17,112.25,-321.435,top,0
D18,118.5,-321.4,top,0
D19,115.3,-321.435,top,0
D20,115.7,-310.135,top,-90
D21,100.5,-313.6,top,0
D22,80.6,-358.4,top,90
D23,103.5,-323.875,top,-90
D24,104.6275,-313.55,top,180
D25,80.525,-367.4,top,90
D26,100.5,-314.8,top,0
J1,78.3,-316.75,top,90
J2,78.3,-365.75,top,90
J3,78.3,-373.75,top,90
J4,103.4,-307.9,top,180
J6,128.525,-391.875,top,-90
J7,128.3,-351.25,top,-90
J8,128.3,-359.875,top,-90
J9,128.3,-368.25,top,-90
J10,128.3,-376.25,top,-90
J11,78.275,-388.125,top,90
J14,78.3,-349.375,top,90
J15,78.3,-358,top,90
J16,127.71,-341.875,top,180
Q1,107.4875,-329.9875,top,90
Q2,103.5375,-329.9875,top,90
Q3,99.5375,-329.9875,top,90
R1,96,-367.25,top,-90
R2,109.5,-371.2,top,-90
R3,111.5,-371.2,top,-90
R4,113.6,-371.25,top,90
R5,98,-371.25,top,-90
R6,96,-371.25,top,-90
R7,87.2,-331.3,top,180
R8,88.57,-324.3,top,0
R9,87.2,-333.1,top,0
R10,92.1,-324.3,top,0
R11,117.8625,-378.3,top,-90
R12,83.5,-367,top,180
R13,83.25,-375.25,top,180
R14,118.2875,-395.8,top,180
R15,122.05,-393.9,top,180
R16,115,-397.7,top,180
R17,122.05,-397.7,top,0
R20,118.2875,-384,top,180
R21,123,-350.1,top,0
R22,122.25,-385.9,top,180
R23,123,-359,top,0
R24,114.62,-385.9,top,180
R25,122.25,-382.15,top,0
R26,123.0875,-367,top,0
R27,123.0875,-375,top,0
R28,97.25,-382.95,top,-90
R29,95.25,-382.95,top,90
R30,93.25,-384.95,top,-90
R31,84,-388,top,90
R32,103.7,-399.2,top,180
R33,97.25,-393.95,top,-90
R34,95.25,-393.95,top,90
R35,93.25,-395.95,top,-90
R36,103.7,-401.1,top,0
R37,84,-392,top,90
R38,117.15,-309.535,top,90
R39,97.25,-316,top,90
R40,109.6,-316,top,90
R41,82,-350.25,top,90
R42,82.3,-359,top,90
R43,94.7,-342.8,top,0
R44,101.7,-318.525,top,90
R45,103.5,-318.5,top,90
R46,105.225,-318.55,top,90
R47,109.625,-334.9,top,-90
R48,107.525,-334.9,top,-90
R49,105.2,-334.9,top,-90
R50,94,-367.25,top,-90
R51,102.5,-336,top,180
U1,103.5,-344,top,0
U2,103.5,-364.75,top,0
U3,86,-327.7,top,90
U5,114.3625,-378.3,top,0
U6,114,-394.7,top,180
U7,114.05,-382.9,top,180
U8,92,-381,top,180
U9,104.1375,-396.125,top,0
U10,92,-392,top,180
Y1,90.85,-341.7,top,90